hab_type,label,prop_cold,mean_n,cv_n,mean_b,cv_b
Cold only,95% cold,0.95,347.42,0.038450915847451764,77.93271559794033,0.03826889169654403
Cold only,75% cold,0.75,270.02,0.04607082425769134,60.45735835606972,0.046589974940315984
Cold only,50% cold,0.5,184.18,0.054864475970780244,41.33723093575287,0.04855759586089885
Cold only,25% cold,0.25,91.76,0.07297522518515508,21.042773331585163,0.08021518521557854
Cold only,5% cold,0.05,18.44,0.17671617513955068,4.275892643912108,0.14634416776143558
Cold + Warm,95% cold,0.95,428.2,0.040998930703137475,84.94422658524242,0.03296986702253234
Cold + Warm,75% cold,0.75,394.32,0.033320352470678764,96.21458213561095,0.025127984092273355
Cold + Warm,50% cold,0.5,276.24,0.04109012069140746,97.32691653868977,0.029634173625307344
Cold + Warm,25% cold,0.25,137,0.06738475253974353,65.9141407636674,0.05255547657261592
Cold + Warm,5% cold,0.05,29.08,0.16305543915103632,15.674794160288805,0.15009981655972862
Cold + Warm (high P),95% cold,0.95,434.56,0.03651279046483426,86.83164668587354,0.026833835507942116
Cold + Warm (high P),75% cold,0.75,390.36,0.030349572752764835,109.59348225819906,0.025189349101587873
Cold + Warm (high P),50% cold,0.5,278.96,0.05150148866918957,123.49895125131299,0.03996166469885914
Cold + Warm (high P),25% cold,0.25,147.34,0.05639575487650038,88.57697839672373,0.054385040507327544
Cold + Warm (high P),5% cold,0.05,36.8,0.13834262174848963,24.130892152084943,0.07884501638019403
